Stiftungsprofessur;Inhaber;Fakultät;Förderer;Förderbetrag;Faktor;Dauer_orig;unbef
Ordentliche Professur für Entscheidungs- und Neuroökonomische Theorie;Alós-Ferrer, Carlos;WWF;Nomis Foundation;6000000 ;10;10 Jahre;FALSE
Assistenzprofessur für Ökonomik der Kinder- und Jugendentwicklung mit einem Schwerpunkt auf Stillen;Brenøe, Anne A.;WWF;Larsson-Rosenquist Stiftung;7000000 ;30;30 Jahre;FALSE
Assistenzprofessur für Vaskuläre Biologie;Camici, Giovanni G.;MeF;Sheikh Khalifa / Stiftung für Herz- und Kreislaufforschung;1242000 ;6;6 Jahre;FALSE
Assistenzprofessur für Entwicklungsökonomie;Casaburi, Lorenzo;WWF;Excellence Foundation Zurich for Economic and Social Research;1200000 ;6;6 Jahre;FALSE
Assistenzprofessur für Muskelplastizität;Flück, Martin;MeF;Schindler Holding AG;6000000 ;10;10 Jahre;FALSE
Assistenzprofessur für Ökonomik der Innovation und des Unternehmertums;Hémous, David;WWF;"UBS Foundation
of Economics in Society";13000000 ;10;unbefristet;TRUE
Ordentliche Professur für Demokratieforschung und Public Governance;Kübler, Daniel;PhF;Stadt Aarau;785000 ;1;unbefristet;TRUE
Ordentliche Professur für Financial Engineering;Leippold, Markus;WWF;Vontobel-Stiftung;5000000 ;10;10 Jahre;FALSE
Assistenzprofessur für Ökonomik der Kinderwohlfahrt und Entwicklung;Lichand, Guilherme;WWF;Excellence Foundation Zurich for Economic and Social Research;5000000 ;25;25 Jahre;FALSE
Ausserordentliche Professur für Neurorehabilitation und Zerebrovaskuläre Neurologie;Luft, Andreas;MeF;P & K Pühringer Gemeinnützige Stiftung;10000000 ;10;10 Jahre;FALSE
Assistenzprofessur für Moderne Indologie / Südasienwissenschaft;Martin, Nicolas;PhF;Mercator-Stiftung;2380000 ;6;6 Jahre;FALSE
"Ausserordentliche Professur ad personam
für computergestützte restaurative Zahnmedizin";Mehl, Albert Christof;MeF;Sirona Dental Systems GmbH;2500000 ;12;12 Jahre;FALSE
Assistenzprofessur für Blutstammzellen und Knochenmarkstroma;Nombela, Arrieta César;MeF;Horten-Stiftung;800000 ;5;5 Jahre;FALSE
"Ordentliche Professur für Ökonomik der Globalisierung
und der Schwellenländer";Ossa, Ralph;WWF;"UBS Foundation
of Economics in Society";13000000 ;10;unbefristet;TRUE
"Assistenzprofessur für Regenerative
Kardiovaskuläre Medizin";Paneni, Francesco;MeF;Sheikh Khalifa / Stiftung für Herz- und Kreislaufforschung;1242000 ;6;6 Jahre;FALSE
Ordentliche Professur für Molekularbiologie;Pelkmans, Lucas;MNF;Ernst-Hadorn-Stiftung;250000 ;1;31 Jahre;FALSE
"Ausserordentliche Professur ad personam
für Spiritual Care";Peng-Keller, Simon;ThF;Landeskirchen Kanton Zürich;200000 ;1;6 Jahre;FALSE
Assistenzprofessur für Financial Accounting;Reggiani, Francesco;WWF;PricewaterhouseCoopers AG;150000 ;1;6 Jahre;FALSE
Ordentliche Professur für Economics of Institutions;Scheuer, Florian;WWF;"UBS Foundation
of Economics in Society";13000000 ;10;unbefristet;TRUE
"Ordentliche Professur für Soziologie der Entwicklung
von Kindern und Jugendlichen";Shanahan, Michael J.;PhF;Jacobs Foundation;9000000 ;20;20 Jahre;FALSE
"Ausserordentliche Professur ad personam
für Klinische Entwicklungspsychologie";Shanahan, Lilly;PhF;Jacobs Foundation;3000000 ;20;20 Jahre;FALSE
"Ausserordentliche Professur ad personam
für Innere Medizin, speziell praxisorientierte
Forschung und Wissenstransfer";Steurer, Johann;MeF;Horten-Stiftung;280000 ;1;14 Jahre;FALSE
Assistenzprofessur für Akute Kardiologie;Templin, Christian;MeF;Sheikh Khalifa / Stiftung für Herz- und Kreislaufforschung;1242000 ;6;6 Jahre;FALSE
Ordentliche Professur für Makroökonomik und Finanzmärkte;Voth, Hans-Joachim;WWF;"UBS Foundation
of Economics in Society";10000000 ;10;unbefristet;TRUE
Assistenzprofessur für Ökonomik der Kinder- und Jugendentwicklung;Zölitz, Ulf;WWF;Jacobs Foundation;2500000 ;20;20 Jahre;FALSE
